Job Title,Company Name,Posted Date,Tech Stack
Senior Full Stack Developer,OfficeRnD,21 окт.,"Angular, AWS, Azure, Google Cloud, Java, JavaScript, Node.js"
Full Stack Developer,OfficeRnD,21 окт.,"AWS, Azure, English, Express.js, Google Cloud, Nest.js, Node.js"
HTML/CSS Developer,Sofia Stars,21 окт.,"Adobe Photoshop, English, Figma, JavaScript, LESS, Sass, Sketch"
Lead Frontend Developer,Anthill,21 окт.,"Confluence, Jira, SaaS"
Assistant Software Developer,Blankfactor,18 окт.,"Angular, C#, English, Java, JavaScript, Python, React"
Senior Front-end Developer,Cognyte,18 окт.,"CSS3, English, HTML5, JavaScript, MongoDB, Node.js, React"
Senior React Developer,TopView Sightseeing,18 окт.,"CSS3, English, Git, HTML5, JavaScript, React, TypeScript"
Frontend Engineering Team Lead,Kaizen Gaming,18 окт.,"JavaScript, Jest, Microservices, Pinia, Tailwind CSS, TypeScript, Vite"
Full Stack Developer SAP Build Apps,SAP,17 окт.,"JavaScript, Node.js, React, SAP, TypeScript"
Expert Software Developer for SAP BTP CI & Delivery service,SAP,17 окт.,"English, Git, GitHub, Java, JavaScript, Jenkins, UI5"
Software developer for SAP CI & Delivery service,SAP,17 окт.,"Cloud Foundry, English, Git, GitHub, Java, JavaScript, UI5"
Senior Software developer for SAP CI & Delivery service,SAP,17 окт.,"Cloud Foundry, English, Git, GitHub, Java, JavaScript, UI5"
Junior Full Stack Developer for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript"
Senior developer – Business Application Studio,SAP,17 окт.,"English, Microservices, Node.js, TypeScript"
Developer for Dev Tools Team,SAP,17 окт.,"English, Go, JavaScript, TypeScript"
Developer – Business Application Studio,SAP,17 окт.,"English, Node.js, TypeScript"
Developer for Cloud Native,SAP,17 окт.,"AWS, Azure, Bash, English, Google Cloud, Java, JavaScript"
Full Stack SAPUI5 Developer,SAP,17 окт.,"CSS3, HTML5, JavaScript, jQuery, OData, RAP, SAP"
Full-Stack Developer for Temporal Service,SAP,17 окт.,"English, Go, JavaScript"
Full Stack Python Developer,HedgeServ,17 окт.,"English, Object-oriented programming, Python"
Full Stack JavaScript Developer,HedgeServ,17 окт.,"Angular, JavaScript, Node.js, TypeScript"
"React JS Developer, Platform&Payments Department",EGT Digital,17 окт.,"Ajax, JavaScript, React, Redux, TypeScript"
Senior Full-Stack Developer,SAP,17 окт.,"Cypress, English, Git, GitHub, Java, JavaScript, jQuery"
(Senior) Full-Stack Developer for Temporal Service,SAP,17 окт.,"AWS, Azure, English, Go, Google Cloud, JavaScript"
Junior Developer – SAP Next Talent Program,SAP,17 окт.,"C/C++, C#, Go, Java, JavaScript, Node.js, Python"
(Senior) Full Stack Developer for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript"
Development Architect for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript, Spring"
Developer,SAP,17 окт.,"C#, C++, Cloud Foundry, Docker, English, Git, Go"
Mid/Senior Software Engineer (Python & AWS),Pwrteams,16 окт.,"AWS, C#, Go, Java, JavaScript, Kafka, Kubernetes"
Technical Lead with PHP,Ozone Entertainment,16 окт.,"Git, JavaScript, Kubernetes, Laravel, MongoDB, MySQL, Nest.js"
Full-Stack Developer (Java & Angular),"ARHS Group, part of Accenture",16 окт.,"Angular, English, Hibernate, Java, JavaScript, jQuery, Oracle"
ReactJS Developer,GeoWealth Development,16 окт.,"Ajax, Confluence, CSS3, Git, HTML5, Jira, React"
ServiceNow Developer,KPMG IT Service,16 окт.,"ITIL, JavaScript, JSON, ServiceNow, SOAP"
Senior Back-End / Full Stack Developer,SAP,15 окт.,"Docker, English, Go, JavaScript, Kubernetes, SAFe, TypeScript"
Junior Developer Customer Innovation Team,SAP,15 окт.,"AWS, Azure, Google Cloud, Hibernate, Java, JavaScript, Jenkins"
Cloud Native Developer Associate,SAP,15 окт.,"C#, C++, Docker, English, Git, Go, IntelliJ IDEA"
Senior Full-Stack Web Developer with Laravel,RaceFacer,15 окт.,"Git, Laravel, MySQL, PHP, PostgreSQL, SOAP, Vue.js"
Front-end Developer,Sportingtech,14 окт.,"English, JavaScript, Sass, TypeScript"
Full Stack Software Engineer,Qualifast,11 окт.,"Angular, Docker, English, Google Cloud, Hibernate, Java, JavaScript"
Senior Front End Developer,Playtech,11 окт.,"CSS3, English, Git, HTML5, Node.js, React, Sass"
Senior Full Stack Developer (Security & Compliance),SAP,11 окт.,"English, Git, Java, JavaScript, Microservices, Python, React"
Senior Front-End Engineer,Appfire,10 окт.,"Bitbucket, Git, Heroku, HTML5, JavaScript, Jira, jQuery"
Full-Stack Developer Associate,SAP,10 окт.,"Cloud Foundry, English, Java, JavaScript, SAP"
Senior Front-End Developer,Dextrasoft,10 окт.,"Angular, CSS3, HTML5, JavaScript, LESS, React, Redux"
Full-Stack Team Lead (React+Java),SolarEdge,10 окт.,"English, Hibernate, Java, React, Spring"
Senior React/React Native Engineer,Trading 212,10 окт.,"JavaScript, React, TypeScript"
Full stack Software Engineer,Modeshift,10 окт.,"C#, English, JavaScript, NoSQL, React, SQL, TypeScript"
Senior Full-stack Developer (.NET),Modeshift,10 окт.,".NET, Angular, C#, JavaScript, Node.js, NoSQL, React"
Full Stack .NET Developer,KBC Global Services,10 окт.,".NET, ASP.NET Core, Azure DevOps, C#, Entity Framework, Git, Microsoft SQL Server"
FullStack Developer,ProCredit Bank,9 окт.,".NET, Angular, React, SQL, Vue.js"
Frontend/WordPress developer,Pronet Gaming,9 окт.,"Adobe Photoshop, Angular, Bootstrap, English, Figma, Git, JavaScript"
Senior Full-stack Java Software Engineer,ROITI,9 окт.,"Angular, Azure Cloud, Azure DevOps, Docker, English, Java, Kafka"
Mid/Senior JavaScript Developer,ГЕЙМПРОМ ООД,9 окт.,"Babel, Confluence, Git, JavaScript, Jest, Jira, React"
Стажантска Програма за Програмисти,TelebidPro,9 окт.,"C#, C++, English, HTML5, Java, JavaScript, Linux"
Frontend Developer (Angular),Sofia Stars,9 окт.,"Angular, Babel, English, Git, Jest, Npm, TypeScript"
Senior Frontend/Javascript Developer,Pronet Gaming,9 окт.,"Angular, CSS3, English, Express.js, Git, HTML5, JavaScript"
Angular Developer,Anthill,8 окт.,".NET, Angular, Azure, C#, JavaScript, Microsoft SQL Server, T-SQL"
SENIOR APPLICATION DEVELOPER,Postbank,8 окт.,".NET Core, ASP.NET, C#, English, HTML5, JavaScript, jQuery"
Senior/ Experienced React (TypeScript) Developer,Plan A,8 окт.,"English, Google Cloud, Gradle, PostgreSQL, React, Redux, TypeScript"
Junior Full Stack Developer,SAP,8 окт.,"Cypress, English, Git, GitHub, HTML5, Java, JavaScript"
