Job Title,Company Name,Posted Date,Tech Stack
Senior DevOps Engineer,myPOS Technologies,22 окт.,"Ansible, AWS, Azure, Docker, GitHub, Google Cloud, Kubernetes"
Information Security Specialist,Dynamo Software Bulgaria,22 окт.,"EDR, SIEM"
Senior Cyber Security MS Sentinel Engineer,DXC Technology,22 окт.,"ArcSight, Azure Sentinel, English, IBM Qradar, ITIL, MITRE ATT&CK, NIST CSF"
Senior Cloud Engineer,"ARHS Group, part of Accenture",22 окт.,"Android, AWS, Git, GitLab, Java, Jetpack, Kafka"
Integrations Manager – iLottery,Pariplay,22 окт.,"DNS, English, Firewalls, Git, JavaScript, Jenkins, Jira"
Site Reliability Engineer,Fourth,21 окт.,"Ansible, AWS, Azure, Chef, Docker, Kubernetes, Object-oriented programming"
Lead DevOps Engineer,Dynamo Software Bulgaria,21 окт.,"Ansible, Argo CD, AWS, Azure, Azure DevOps, C#, Kubernetes"
Senior Infrastructure DevOps Engineer,Amadeus Sofia,18 окт.,"Ansible, Docker, English, Git, GitHub, Jenkins, JSON"
ABAP Developer/DevOps Engineer for Integration Automation,SAP,18 окт.,"English, OData, SAP ABAP, SAP Cloud, SAP HANA"
"Program Security Senior – SAP BTP EX, Foundational Plane",SAP,18 окт.,English
Senior Cloud DevOps Engineer – User Assistance Platform,SAP,18 окт.,"Flask, Google Cloud, HTML5, Java, JavaScript, Jenkins, Linux"
SYSTEM ADMINISTRATOR – WINDOWS,Postbank,18 окт.,"Azure, English, Hyper-V, Microsoft Exchange, Microsoft Office 365, VMware, VMware ESXi"
Mid 24/7 Cloud Operations Engineer,SAP,17 окт.,"English, Google Cloud"
Senior Cloud & DevOps Engineer – Maternity leave replacement,SAP,17 окт.,"English, Flask, Jenkins, Linux, Node.js, OpenAPI, Python"
Developer for Security Compliance team,SAP,17 окт.,"AWS, English, Go, Google Cloud, Kubernetes, Node.js"
Senior Storage DevOps Engineer,SAP,17 окт.,"Ansible, Bash, Ceph, Docker, GitHub, Go, Jenkins"
(Senior) DevOps Engineer,SAP,17 окт.,"Bash, Chef, ELK stack, English, Fluentd, Git, Go"
Server Management Security specialist,SAP,17 окт.,"Ansible, AWS, Azure, English, Google Cloud, Linux, Python"
Software Developer in SAP Business Technology Platform Big Data Team,SAP,17 окт.,"AWS, Azure, Bash, English, Go, Google Cloud, Linux/UNIX"
Server Management specialist,SAP,17 окт.,"Kubernetes, Linux, OpenStack, Python, Red Hat, Shell, SUSE"
Cloud Adoption Engineer for SAP Global Cloud Infrastructure & Delivery,SAP,17 окт.,"Ansible, Bash, Java, Node.js, Python, Terraform"
DevOps for SAP Cloud Infrastructure Services,SAP,17 окт.,"AWS, Azure, Cloud Foundry, English, Git, Google Cloud, ITIL"
SAP iXP Intern Cloud Services – Kubernetes,SAP,17 окт.,"AWS, Azure, C#, Go, Google Cloud, Java, Kubernetes"
Cloud Engineer/Developer for Common Service Infrastructure,SAP,17 окт.,"English, Go, Helm, Kubernetes, Kustomize, Python"
DevOps Platform Engineer with Kubernetes,SAP,17 окт.,"AWS, Jenkins, Terraform, Shell, Ruby, Python, Prometheus"
DevOps Engineer,SAP,17 окт.,"AWS, Azure, Bash, English, Google Cloud, Python, Ruby"
