Job Title,Company Name,Posted Date,Tech Stack
Product Manager,myPOS Technologies,22 окт.,English
IT Operations Manager,myPOS Technologies,22 окт.,"English, ITIL"
Product Owner,EGT Digital,22 окт.,English
Fraud and AML Business Execution Manager,Flutter International,22 окт.,"Confluence, Jira, PowerPoint, Scrum, Six Sigma"
Fraud and AML Business Excellence Manager,Flutter International,22 окт.,"Asana, Confluence, Jira, Lean Six Sigma, Microsoft Excel, MicroStrategy, Miro"
Technical Product Owner for Circular Economy Cloud Applications,SAP,22 окт.,English
Game Mathematician,Amusnet,22 окт.,"English, Microsoft Excel, Object-oriented programming"
Junior PMO Business Analyst,Pwrteams,21 окт.,"Google Sheets, Microsoft Excel, Scrum"
SAP GFA iXp Intern – Global Licensing Management & Compliance,SAP,17 окт.,English
Scrum Master,Flutter International,17 окт.,"Confluence, Jira, Kanban, LESS, SAFe, Scrum"
"Business Analyst at Digital Banking Department, Sofia",Fibank,16 окт.,"English, Jira, Scrum"
Scrum Master Customer Innovation,SAP,15 окт.,"English, Jira, SAP HANA, Scrum"
Integration Team Lead – iLottery,Pariplay,15 окт.,"DNS, English, Load Balancer, SQL, TCP/IP"
Scrum Master – iLottery,Pariplay,15 окт.,"Atlassian, Jira, Scrum"
Integrations Product Manager,Pariplay,15 окт.,"DNS, English, Firewalls, Jenkins, Load Balancer, SQL"
Senior Software Engineering Excellence Lead,SAP,15 окт.,"Kanban, Power BI, SAP, Scrum, Security"
Project Manager,EGT Digital,15 окт.,"English, Scrum"
Product Manager (Live Casino),Amusnet,14 окт.,"English, Scrum"
IT Operations Solution Engineer,Playtech,11 окт.,"English, Jira"
Functional Analyst Market Risk,KBC Global Services,11 окт.,"English, Microsoft Excel, SQL, XML"
Software Project Manager – VW Group,Visteon,10 окт.,"English, Jira, Microsoft Excel, Microsoft Office, MS Word, PowerPoint, Scrum"
Senior User Assistance Developer,SAP,10 окт.,English
Project Manager,Modeshift,10 окт.,"Jira, Microsoft Office, Scrum, Waterfall"
Mechanical Engineer – MDO project Lead,Visteon,9 окт.,"English, Microsoft Office, Microsoft Project"
JIRA Administrator,ProCredit Bank,9 окт.,"Bamboo, Bitbucket, Confluence, Jira, Scrum"
Technical Writer,ProCredit Bank,9 окт.,"Confluence, English, Jira, Microsoft Office, SAFe"
Product Owner,Amusnet,9 окт.,"English, Scrum"
IT Project Manager (Focus on Infrastructure projects),ProCredit Bank,7 окт.,English
Senior Business Consultant with Temenos,Blankfactor,7 окт.,T24
Technical Writer,EGT Digital,7 окт.,"English, MadCap Flare"
IT Product manager,TINQIN,4 окт.,"English, Scrum"
Product Owner for Tools Team,SAP,4 окт.,English
Product Manager for SAP Internal CI/CD Platform,SAP,4 окт.,"Cloud Native, SAP"
