Job Title,Company Name,Posted Date,Tech Stack
Manual QA Specialist,EGT Digital,22 окт.,"Confluence, English, Jira"
Automation QA,OfficeRnD,21 окт.,"Cypress, English, Git, JavaScript, Jest, Playwright"
Automation QA,B. Braun Medical,21 окт.,English
Junior QA,ICT Strypes,21 окт.,English
Senior QA Automation Engineer,Retail Management Hero,17 окт.,"C#, English, JavaScript, Microsoft SQL Server, MVVM, Robot Framework, T-SQL"
Senior Automation QA Engineer,Amadeus Sofia,17 окт.,"Java, Jenkins, Selenium"
Junior Feature Integrator,ICT Strypes,17 окт.,"English, Git, Linux/UNIX, Microsoft Office"
QA Manual,Tiebreak,16 окт.,"English, Insomnia, Postman"
Automation Quality Assurance Engineer,ICT Strypes,16 окт.,"English, Selenium"
Automation QA Engineer (Senior/Mid),Astea,14 окт.,"Cypress, English, Playwright, WebDriver"
Senior Mobile QA Engineer,Trading 212,10 окт.,"English, Postman, RDBMS"
Software QA Engineer (Machine Learning),Hyperscience,10 окт.,"English, Python, Selenium"
Manual QA Specialist,Nuvei,10 окт.,"Jira, Microsoft SQL Server, MySQL, SQL"
Quality Assurance Engineer,ProCredit Bank,9 окт.,"C#, English, Git, Jira"
Manual QA Test Engineer,Ventures Lab,9 окт.,"English, Jira, Microsoft SQL Server, Postman"
Automation QA (preferably JS),Gamito,9 окт.,"Java, JavaScript"
Manual QA Specialist,Sofia Stars,9 окт.,"English, Jira, SQL"
Senior Automation QA Engineer,EGT Digital,8 окт.,"Java, Playwright, Postman, Rest Assured, Selenium"
QA Automation Engineer,SEEBURGER,7 окт.,"FTP, Java, JUnit, Linux, SQL, TestNG, Unix"
Automation QA Engineer,LimeChain,7 окт.,"Cucumber, English, Ethers.js, Hardhat, Java, JavaScript, Mocha"
Quality Assurance Engineer,Trading 212,5 окт.,English
Automation QA Engineer,Roller Gaming,4 окт.,"Docker, English, Git, Helm, Java, Linux, Object-oriented programming"
Senior Automation QA Engineer,MentorMate,3 окт.,"Cucumber, English, Java, Selenium"
Senior Automation QA Engineer,neoshare,3 окт.,"Bitbucket, Docker, Git, Java, JUnit, Kubernetes, MongoDB"
Manual QA,ГЕЙМПРОМ ООД,2 окт.,"Android, Confluence, English, iOS, Postman"
QA Automation Engineer,Plan A,2 окт.,"AWS, Azure, Google Cloud, Java, JavaScript, Selenium"
QA Engineer,CleverPine,2 окт.,"Azure, Cucumber, English, Gherkin, Jira, Maven, Playwright"
Senior JS Automation QA Engineer,Kin + Carta,1 окт.,"Charles, Cypress, JavaScript, Microservices, Playwright, Postman, TypeScript"
Senior Java Automation QA Engineer,Kin + Carta,1 окт.,"Appium, Charles, Java, Jmeter, Postman, Selenium, SQL"
Poker Quality Assurance Analyst,Flutter International,1 окт.,"Cucumber, Gherkin, HTML5, JavaScript, Jira, Protractor, Selenium"
Mid / Senior Automation QA Engineer,People and Places,1 окт.,"C#, English, Java, JavaScript, Jenkins, Playwright, SQL"
Automation QA Engineer (Maternity Cover),Cognyte,30 сеп.,"C#, Cucumber, English, Gherkin, Java, Selenium"
"Senior QA Automation Engineer at Digital Banking Department, Sofia",Fibank,30 сеп.,"Allure, Appium, Cucumber, English, Java, Jira"
QA Engineer – iLottery,Pariplay,30 сеп.,"English, SQL"
Automation QА Engineer (m/f/d),Chaos,27 сеп.,"C#, English, Mac OS, pytest, Python, Squish"
Senior QA Engineer,Ambire,27 сеп.,"Blockchain, English, Git, JavaScript, Puppet, React, TypeScript"
Quality Assurance Engineer,KPMG IT Service,26 сеп.,"Azure DevOps, C#, English, ISTQB, Visual Studio"
Senior Automation QA Engineer,Amusnet,26 сеп.,"English, JavaScript, Playwright, TypeScript"
QA Automation Engineer,Matrix Global Services– Eastern Europe,22 окт.,"AWS, Azure, Git, Hyper-V, Java, JSON, Linux"
Functional Manual Test Engineer – Hardware and Software,Holland Hires,22 окт.,English
Senior SDET Engineer,RingCentral,21 окт.,"English, Gatling, Jmeter, MongoDB, NoSQL, Redis, SQL"
Automation QA Engineer,Fadata,18 окт.,"Azure, English, Java, Jenkins, Postman, Rest Assured, Selenium"
QA Engineer,Betty Technology,18 окт.,English
QA Engineer – Public Websites,Progress,18 окт.,".NET, English, Git, JavaScript, PowerShell, Selenium, SQL"
Senior Software Test Engineer (m/f/d),Infopulse Bulgaria,18 окт.,"Java, Jira, Linux, SQL, Zephyr"
SAP Quality Engineer,LeverX,17 окт.,"Jira, SAP, Selenium, Vyper, XRay"
Principal Performance QA Engineer,Devexperts,17 окт.,"English, IBM DOORS, Jenkins, Vector"
SOFTWARE/SYSTEM ENGINEERING PRODUCT QUALITY FOR AUTOMOTIVE,Bosch Engineering Center Sofia,17 окт.,"Bitbucket, Confluence, English, Git, Jira, JSON, VSCode"
Manual QA Engineer,Coretech,17 окт.,"Java, Rest Assured, Selenium"
Automation QA Engineer,Human Power,17 окт.,"English, Jira, Kibana, Postman, SoapUI, SQL"
QA Specialist,A1 Bulgaria,16 окт.,"English, Jira, Selenium, SQL"
Game Release QA Engineer – iLottery,Pariplay,16 окт.,"English, Jira, Linux, Python, TestRail"
Experienced QA – Automation,Gamito,16 окт.,"English, Katalon, XRay, Zephyr"
Integrations Senior Manual QA Engineer,Milestone Systems Bulgaria,16 окт.,Internet of Things
Functional Test Engineer (Hardware and Software),M2M Services,16 окт.,"Bugzilla, C#, Jira, TestLink, XRay, Zephyr"
Automation QA Engineer,UltraPlay,16 окт.,"English, Java, Jira, Oracle, Playwright, Postman, Selenium"
Experienced QA Automation Engineer,Pronet Gaming,16 окт.,"Jira, Postman, SAP, SAP ABAP, SAP Fiori, SAP HANA, Selenium"
SAP QUALITY MANAGER/QUALITY ENGINEER,LeverX,15 окт.,"English, Java, SQL"
Junior Automation QA,Proxiad SEE,15 окт.,"Git, Java, Jenkins, Python, Selenium"
Senior Manual QA Specialist,Smart IT,14 окт.,"English, SQL"
Automation QA Engineer (Squish) (m/f/d),Chaos,14 окт.,"C#, English, Mac OS, pytest, Python, Squish"
QA Engineer – Maternity Cover,Progress,14 окт.,"Angular, ASP.NET, English, Git, SQL"
Functional Quality Assurance Tester,ManpowerGroup Bulgaria,14 окт.,Azure DevOps
Automation Quality Engineer (Maternity cover),Axway,14 окт.,"English, Git, Java"
Senior Quality Engineer,Axway,14 окт.,"English, Git, Java, Linux"
OPD QA Engineer,Pariplay,13 окт.,"Android, English, iOS, Jira, SQL"
Game Release QA Engineer,Pariplay,13 окт.,"Bugzilla, English, Jira"
Junior QA Engineer (2 year temporary contract),Yettel,10 окт.,SQL
Senior Quality Assurance Engineer,Trading 212,10 окт.,"Appium, English, Java, JUnit, Postman, Python, RDBMS"
Quality Engineer in Cloud/Kubernetes Network virtualization,Cross Source,10 окт.,"AWS, Azure, Docker, English, Kubernetes, Linux/UNIX"
QA Engineer,Nemetschek Bulgaria,9 окт.,"C#, English"
Senior Automation QA Engineer,Fadata,9 окт.,"English, Java, Postman, Selenium, SQL, TestNG"
Senior Test Automation Engineer,RingCentral,9 окт.,"Appium, Java, Mac OS, Microsoft Windows Server, Selenium"
QA Automation Engineer,"Amdaris, an Insight company",9 окт.,"Azure DevOps, English, Jmeter, Postman, Selenium, SQL"
Senior Automation QA,"Amdaris, an Insight company",9 окт.,"Azure DevOps, English, Jmeter, Playwright, Postman, SQL"
QA/Test Automation Engineer,Westernacher Solutions,8 окт.,"English, Groovy, Java, Kanban, Selenium"
Senior Automation QA Engineer,Devexperts,8 окт.,"Gradle, Jenkins, JUnit, Maven, Spring, TeamCity"
Junior QA Engineer,Playtech,8 окт.,"English, Jenkins, Jira, PostgreSQL, SQL, TestRail, Unix"
QA Engineer,Abalta Technologies,8 окт.,"Confluence, Jira"
QA Engineer,Playtech,7 окт.,"English, Jenkins, Jira, PostgreSQL, SQL, TestRail"
Manual QA Engineer,neoshare,7 окт.,"English, Jira, Postman, Swagger, TestRail"
QA Engineer (ServiceNow),A1 Bulgaria,6 окт.,"English, Java, Selenium, ServiceNow, SQL"
Manual QA Specialist,Plan A,4 окт.,English
Mid./ Sr. Manual QA Expert,DSK Bank,4 окт.,"Azure, Confluence, English, Jira"
Automation QA Engineer,Astea,4 окт.,"Cypress, English, Playwright, WebDriver"
Automation QA Engineer,GeoWealth Development,3 окт.,"Java, Rest Assured, Selenium"
Automation Developer,Playtech,2 окт.,".NET, C#, Docker, English, Entity Framework, FTP, Selenium"
Senior Test Automation Engineer (Mobile focus),Smule,2 окт.,"Android, English, iOS, Jira, Linux, Swift, TeamCity"
Junior QA Engineer (CyberSecurity),Acronis,2 окт.,"English, Linux"
Senior Automation QA,Nexo,30 сеп.,"Cucumber, Gherkin, JavaScript, Jenkins, Selenium"
Senior QA Automation Engineer,CADABRA,30 сеп.,"Crashlytics, Jira, Postman, Swagger, Xcode"
Manual QA Engineer,tbi bank,27 сеп.,"English, SQL"
QA Engineer,Constructor,27 сеп.,"Git, Jenkins, Jira, JSON, Postman, Selenium, Zephyr"
QA Engineer,ThinkMarkets,26 сеп.,"Confluence, English, Jira, Zephyr"
Senior System Test Engineer (manual),dormakaba business services,26 сеп.,"C#, English, Git, Jenkins, NUnit, Ranorex"
Technical Lead Test Automation Development,dormakaba business services,26 сеп.,"Docker, English, Git, Linux, Python, TCP/IP"
Senior QA Automation Engineer (Core Media AI),RingCentral,26 сеп.,"Docker, gRPC, Kubernetes, Node.js, Python, TCP/IP"
Senior QA Automation Engineer (Core Media),RingCentral,26 сеп.,"Bash, English, Git, GitHub, Groovy, Jira, Linux"
"QA Automation Engineer (.Net, C#)",Excitel Technology,26 сеп.,".NET, ASP.NET Core, Azure DevOps, C#, JavaScript, SQL, XUnit"
PYTHON TEST AUTOMATION ENGINEER,Bosch Engineering Center Sofia,25 сеп.,"English, Git, pytest, Python"
Senior Software Developer in Test (SDET) – Contact Center,RingCentral,25 сеп.,"Java, JUnit, Microsoft SQL Server, MySQL, PostgreSQL, TestNG"
OPD QA Engineer – iLottery,Pariplay,25 сеп.,"English, SQL"
Automation QA Engineer,Easy Consult,25 сеп.,"Chai, CircleCI, Cucumber, English, Ethers.js, Git, Java"
Intern QA Manual,Pytek,25 сеп.,JavaScript
Senior QA Automation Engineer,DSK Bank,24 сеп.,"Azure DevOps, English, Git, JUnit, Playwright, TestNG"
QA Engineer,Playtech,24 сеп.,"Bamboo, English, Git, Java, Jenkins, SQL, Subversion"
