Job Title,Company Name,Posted Date,Tech Stack
Information Security Specialist,Dynamo Software Bulgaria,22 окт.,"EDR, SIEM"
Senior Cyber Security MS Sentinel Engineer,DXC Technology,22 окт.,"ArcSight, Azure Sentinel, English, IBM Qradar, ITIL, MITRE ATT&CK, NIST CSF"
Escalation Support Coordinator (Major incidents),SAP,18 окт.,"ITIL, Microsoft Office, MS Outlook, ServiceNow"
Technical Support Expert Tier 3 (Maternity Cover),Cognyte,18 окт.,"Bash, Docker, Hyper-V, Linux, NetApp, PowerShell, Python"
Global IT Support Specialist,Playtech,11 окт.,"Azure, Azure Active Directory, Mac OS, Microsoft Office 365, Microsoft SCCM, Network, TCP/IP"
Customer Support – Technical,Tiger Technology,11 окт.,"English, Linux, Mac OS, Microsoft Windows Server"
Junior Cloud Support Engineer,DIGITALL,9 окт.,"Cloud Foundry, English, IaaS, Kubernetes, PaaS, SaaS, SAP"
Senior Network Engineer,MentorMate,8 окт.,"Ansible, Check Point, Cisco, English, Gigamon, Nexus, Python"
IT Help Desk Administrator,EGT Digital,8 окт.,Mac OS
"Специалист Инфраструктура, Дирекция ИТ",Fibank,7 окт.,"English, Microsoft Office"
Application Administrator,ProCredit Bank,7 окт.,".NET, English, IIS, Microsoft SQL Server, Microsoft Windows Server, Oracle, PL/SQL"
Infrastructure Team Lead,ProCredit Bank,7 окт.,"Azure Active Directory, DNS, English, Microsoft Windows Server"
OPD Engineer – iLottery,Pariplay,1 окт.,"DNS, English, Jenkins, Load Balancer, SQL, TCP/IP"
24/7 Junior Cloud Operations Engineer,SAP,27 сеп.,"AWS, Azure, English, Google Cloud, Linux/UNIX, MySQL"
Product Integration and Support Engineer,Cognyte,26 сеп.,"AWS, Azure Active Directory, Docker, Google Cloud, Hyper-V, Linux, Microsoft Windows Server"
Mobile Voice Core Support Engineer,A1 Bulgaria,21 окт.,English
Engineer Access Network,A1 Bulgaria,21 окт.,"DHCP, English"
C++/Java Technical support,Matrix Global Services– Eastern Europe,21 окт.,"C++, Cisco, Java, Linux, Mac OS, SQL"
Technical Support Engineer,M2M Services,18 окт.,English
IT Specialist,TOUCHPOINT,18 окт.,English
Junior IT Specialist,TOUCHPOINT,18 окт.,"DHCP, DNS, Google Workspace, IIS, Microsoft Office, Microsoft Windows Server, SharePoint"
Technical Product Support Specialist,SM Consulta,18 окт.,English
Ключов финансов експерт за поддръжка на софтуерна система,SM Consulta,18 окт.,"English, Microsoft Excel"
DevOps Engineer,Luxoft,17 окт.,"Azure, Azure DevOps, Docker, English, Kubernetes"
Стажант „Персонални компютри“,A1 Bulgaria,17 окт.,"DHCP, DNS, Microsoft Office"
IT System Engineer (focus Linux/VMware),Zühlke,17 окт.,"Bash, English, Linux, PowerShell, Python, Ubuntu, VMware"
IT System Engineer (focus MS SQL and Windows),Zühlke,17 окт.,"English, Microsoft SQL Server, Microsoft Windows Server, PowerShell, VMware"
Backup Infrastructure Engineer,A1 Bulgaria,17 окт.,"Commvault, English, Microsoft 365, Veeam"
Senior Application Support Engineer (Linux),Nordic Recruitment & Consulting,17 окт.,"C++, Java, JSON, Linux, MySQL, OAuth, Oracle"
Technical Support Engineer L2,Talaint by Human Recruiters,17 окт.,"English, Linux, Microsoft SQL Server, MySQL, Oracle, SQL"
Security Service Engineer,People and Places,17 окт.,"AWAF, English, OWASP"
Technical Customer Support Specialist with German,A1 Bulgaria,16 окт.,German
Senior Mainframe System Engineer – Sofia/Plovdiv,Commerzbank Digital Technology Center,16 окт.,"English, TCP/IP, Unix, zOS"
Technical Support Analyst with Turkish,Experian,16 окт.,"English, Turkish"
Technical Support Specialist with German,Acronis,16 окт.,"English, German"
Cloud Software Support Engineer (German Language),Acronis,16 окт.,"English, German, Linux, Microsoft Exchange, Microsoft SQL Server, MySQL, Oracle Database"
"Technical Support Engineer, Priority Team (German Language)",Acronis,16 окт.,"DHCP, DNS, English, German, Linux, Microsoft Exchange, Microsoft SQL Server"
"Tier 2 Engineer, Network and Security",GTT,16 окт.,"Aruba, Fortinet, Palo Alto, Silver Peak, VMware Velocloud"
Младши системен администратор/ Junior System Administrator,A1 Bulgaria,14 окт.,English
NOC Engineer,Gamito,14 окт.,"English, Linux, Microsoft Windows Server"
Senior Support Agent,Pateplay,14 окт.,"Amazon CloudWatch, Confluence, English, Google Workspace, Grafana, Jira, Kibana"
"Ръководител екип Наблюдение и Разрешаване на проблеми, NOС Опорни мрежи и Мобилен достъп",VIVACOM,14 окт.,English
"SAP Support Engineer (L1,L2)",LeverX,13 окт.,"SAP, ServiceNow"
Network Infrastructure Consultant,Endava,11 окт.,"Ansible, Arista, Chef, Cisco, Citrix, English, Fortinet"
