Job Title,Company Name,Posted Date,Tech Stack
Senior Product Designer – Product Discovery,SAP,22 окт.,Figma
HTML/CSS Developer,Sofia Stars,21 окт.,"Adobe Photoshop, English, Figma, JavaScript, LESS, Sass, Sketch"
Lead User Experience Designer,UKG,21 окт.,"Angular, Axure, Bootstrap, Ember.js, Figma, InVision, Ionic"
SAP iXp Intern – User Experience Designer,SAP,18 окт.,"Adobe Creative Cloud, Axure, English, Figma, Sketch"
SAP iXp Intern – User Experience Designer,SAP,18 окт.,"Bulgarian, English, Figma"
Graphic Designer,SiteGround,17 окт.,"Adobe Creative Cloud, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, English, Figma"
Senior Product Designer with Research Focus,SAP,17 окт.,Figma
Gaming Video Editor,Pwrteams,15 окт.,"Adobe After Effects, Adobe Creative Cloud, Adobe Media Encoder"
Art Lead,EGT Digital,15 окт.,"Adobe Creative Cloud, Adobe Illustrator, Adobe Photoshop"
Senior Product Designer,Ship.Cars,14 окт.,Figma
Graphic Designer,Sirma,14 окт.,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, English, Figma, Microsoft Office"
Mid/Senior 2D Animator,AUG GLOBAL,9 окт.,"Adobe After Effects, English, Jira, Spine 4"
Visual & Motion Designer,TINQIN,9 окт.,"Adobe After Effects, Adobe Creative Cloud, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Figma"
Product Designer,Amusnet,8 окт.,"Adobe Creative Cloud, Figma"
"Game Animator, Online Games",EGT Digital,8 окт.,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Spine 4"
Sr Product Designer,Nuvei,7 окт.,"English, Figma, Sketch"
Senior UX Designer,SEEBURGER,7 окт.,"Adobe Creative Cloud, English, Figma"
UX Design Consultant,SAP,1 окт.,"English, Figma, SAP Fiori, UI5"
Senior Product Designer,SiteGround,30 сеп.,"A/B testing, Figma"
Web Design Team Lead,Pwrteams,30 сеп.,"Adobe Illustrator, Adobe Photoshop, Balsamiq, Figma, Git, LESS, Visual Studio"
"Game Animaitor, Online Games",EGT Digital,30 сеп.,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Spine 4"
3D Artist (m/f/d),Chaos,27 сеп.,"3ds Max, Adobe Photoshop, English, Nuke, V-Ray SDK"
Middle Technical Artist,AUG GLOBAL,25 сеп.,"Adobe Photoshop, English, Spine 4"
Senior User Experience Designer,UKG,21 окт.,"Adobe Creative Cloud, Figma, InVision, Sketch"
Design Director – Marketing,Payhawk,20 окт.,"Adobe Creative Cloud, Drupal, English, Figma, WordPress"
Senior Web Designer,Payhawk,20 окт.,"Adobe Creative Cloud, Drupal, Figma, Sketch, WordPress"
UI/UX Designer,Infragistics,18 окт.,"English, Figma, Sketch"
Senior Product Design Manager,OfficeRnD,15 окт.,"Adobe XD, English, Figma, Sketch"
Junior UI/UX Designer,Accedia,15 окт.,"Adobe Creative Cloud, English, Figma"
Experienced Product Designer,Yotpo,15 окт.,"Adobe, Figma, Jira, Sketch"
UI DESIGNER,Телематик Интерактив България АД,14 окт.,"Adobe Creative Cloud, Figma, Miro, ProtoPie, Zeplin"
UX / UI Designer,Ventures Lab,14 окт.,"Adobe XD, Figma, Sketch"
Design Coordinator,myPOS Technologies,14 окт.,"Adobe Creative Cloud, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Confluence, English, Figma"
UI/UX DESIGNER,XS Software,11 окт.,Adobe Creative Cloud
UI/UX Designer,Infragistics,11 окт.,"Adobe Creative Cloud, Adobe Illustrator, Adobe Photoshop, English, Figma, Sketch"
Motion Designer,FriggHome,11 окт.,English
Senior Product Designer – UI/UX Mobile Apps,Reward Gateway,10 окт.,English
Graphic Designer,Cross Source,10 окт.,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Lead Product Designer,Remix by ThredUp,9 окт.,"Adobe Creative Cloud, Bulgarian, English, Figma"
UI/UX Designer (Contractor),Vaultody,7 окт.,"Adobe XD, Figma, Sketch"
Product Owner (Game Designer),7777 gaming,2 окт.,"Adobe Photoshop, Bulgarian, English"
2D Animator,Ucha.se / Уча.се,1 окт.,"Adobe After Effects, Adobe Animate, Adobe Audition, Adobe Premiere Pro, Google Drive"
Digital Customer Experience Specialist (maternity cover),Yettel,30 сеп.,"Adobe Photoshop, English, Microsoft Office"
UX Designer (2 years tempory contract),Yettel,29 сеп.,"Adobe Illustrator, Adobe Photoshop, English, Figma"
Senior Web Designer,DevriX,27 сеп.,"Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma"
Senior Product Designer,Payhawk,26 сеп.,"Adobe XD, Figma, Sketch"
Senior Web / Interactive Designer,eDesign,26 сеп.,"Adobe Illustrator, Adobe Photoshop, Adobe XD, English, Sketch, WebGL"
Уеб Дизайнер,STUDIOWEB.BG,26 сеп.,English
UI/UX Designer,brandЪ,26 сеп.,"Adobe Creative Cloud, Sketch"
Графичен Уеб дизайнер,Alpha Best,26 сеп.,"Adobe Illustrator, Adobe Photoshop, English, WordPress"
Game Design Intern,Imperia Online,26 сеп.,Microsoft Office
